epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,167.245,0.53768,0.45558,0.89012,0.95428,0.84371,0.9301,0.77228,0.5055,0.44175,0.84341,0.000279063,0.000279063,0.000279063
72,169.547,0.53331,0.45605,0.89309,0.93356,0.84956,0.9245,0.76352,0.52283,0.44605,0.8524,0.000270064,0.000270064,0.000270064
73,171.825,0.50789,0.44026,0.87986,0.95299,0.82246,0.92096,0.74957,0.5555,0.45727,0.86116,0.000261065,0.000261065,0.000261065
74,174.157,0.48738,0.42502,0.87127,0.95016,0.83509,0.92149,0.75606,0.53616,0.4559,0.84754,0.000252066,0.000252066,0.000252066
75,176.45,0.53297,0.44421,0.90447,0.938,0.85541,0.9251,0.75879,0.51665,0.44234,0.84556,0.000243067,0.000243067,0.000243067
76,178.808,0.5138,0.43438,0.87659,0.94777,0.86346,0.92252,0.75006,0.55395,0.45075,0.85894,0.000234068,0.000234068,0.000234068
77,181.072,0.48483,0.42233,0.88192,0.93824,0.85885,0.92116,0.75982,0.5248,0.45665,0.85626,0.000225068,0.000225068,0.000225068
78,183.385,0.5387,0.45407,0.89009,0.95084,0.81426,0.92282,0.76123,0.53509,0.4596,0.84933,0.000216069,0.000216069,0.000216069
79,185.647,0.48104,0.41659,0.86996,0.93248,0.84745,0.92275,0.75486,0.52044,0.44728,0.8462,0.00020707,0.00020707,0.00020707
80,187.978,0.50992,0.44186,0.88386,0.92738,0.86543,0.93134,0.76792,0.49565,0.43701,0.83817,0.000198071,0.000198071,0.000198071
81,190.236,0.47168,0.41405,0.86308,0.9784,0.81455,0.922,0.76107,0.52194,0.43954,0.84306,0.000189072,0.000189072,0.000189072
82,192.55,0.47634,0.40617,0.87575,0.98164,0.82329,0.92258,0.76602,0.48999,0.44676,0.8355,0.000180073,0.000180073,0.000180073
83,194.799,0.50615,0.42828,0.87293,0.97222,0.81751,0.92046,0.7675,0.49489,0.4482,0.83517,0.000171074,0.000171074,0.000171074
84,197.087,0.47926,0.42153,0.87233,0.96329,0.80877,0.92354,0.76377,0.5228,0.45389,0.8422,0.000162075,0.000162075,0.000162075
85,199.411,0.47905,0.40923,0.86565,0.95442,0.81991,0.92215,0.76555,0.49984,0.43545,0.83817,0.000153076,0.000153076,0.000153076
86,201.71,0.47065,0.42375,0.87847,0.9407,0.84133,0.91972,0.7592,0.51653,0.43529,0.84213,0.000144077,0.000144077,0.000144077
87,204.061,0.48512,0.42506,0.88022,0.95068,0.84053,0.91843,0.75557,0.5291,0.44779,0.84449,0.000135077,0.000135077,0.000135077
88,206.356,0.50622,0.426,0.86891,0.94867,0.8344,0.91951,0.77038,0.49643,0.44196,0.83499,0.000126078,0.000126078,0.000126078
89,208.649,0.49779,0.41677,0.86716,0.95802,0.83027,0.91997,0.76424,0.51444,0.44158,0.83915,0.000117079,0.000117079,0.000117079
90,210.972,0.50004,0.42886,0.87573,0.95456,0.83838,0.91775,0.76797,0.49325,0.43225,0.83695,0.00010808,0.00010808,0.00010808
